sweep_type,algorithm,parameter_value,sample_id,generation_time,success,attempts,quality_score,timestamp,avg_similarity,num_categories,total_words,difficulty,cat_1_difficulty,cat_1_similarity,cat_1_theme,cat_2_difficulty,cat_2_similarity,cat_2_theme,cat_3_difficulty,cat_3_similarity,cat_3_theme,cat_4_difficulty,cat_4_similarity,cat_4_theme,refined_intracategory_word_distinctiveness,refined_intercategory_discoherence,refined_intracategory_coherence,refined_difficulty_progression,refined_generation_success_rate,refined_overall_quality_score,parameter_name,error
algorithm_comparison,N=K,N=K,1,17.84194588661194,True,1.0,0.7813993692398071,2025-08-05T00:35:36.063298,0.6773322820663452,4.0,16.0,3.0,1.0,0.7216356992721558,brock,2.0,0.6852673888206482,dati,3.0,0.6218209862709045,showcar,4.0,0.6806050539016724,dissapointed,0.9325226247310638,0.24559760785852397,0.37110620737075806,1.0,1.0,0.5744172307271623,,
algorithm_comparison,N=K,N=K,2,17.604347944259644,True,1.0,0.7713036060333252,2025-08-05T00:35:53.669561,0.676131010055542,4.0,16.0,3.0,1.0,0.6414615511894226,perl,2.0,0.7763926982879639,macht,3.0,0.6624229550361633,mackeral,4.0,0.6242468357086182,muhammad,0.9204069226980209,0.22650279813880903,0.4133919164538383,1.0,1.0,0.5814146009680509,,
algorithm_comparison,N=K+D,N=K+D,1,17.414968013763428,True,1.0,0.8121107548475266,2025-08-05T00:36:11.085701,0.7233095914125443,4.0,16.0,3.0,1.0,0.6613247394561768,jodi,2.0,0.6572567820549011,rocketed,3.0,0.6804934144020081,formate,4.0,0.8941634297370911,facilisis,0.8317039683461189,0.19927283794053638,0.45206979289650917,1.0,1.0,0.565968629085442,,
algorithm_comparison,N=K+D,N=K+D,2,16.95595693588257,True,1.0,0.7786221712827683,2025-08-05T00:36:28.042771,0.6622869521379471,4.0,16.0,3.0,1.0,0.6504325270652771,reviewing,2.0,0.7159615159034729,glucan,3.0,0.620703935623169,chromakey,4.0,0.6620498299598694,chaudhry,0.8664557337760925,0.219505199805557,0.5032472558319568,1.0,1.0,0.5976267729365973,,
similarity_threshold,,0.3,1,,False,,,2025-08-05T00:36:28.395413,,,,,,,,,,,,,,,,,,,,,,,similarity_threshold,'NoneType' object has no attribute 'generateConfigurablePuzzle'
similarity_threshold,,0.3,2,,False,,,2025-08-05T00:36:28.395425,,,,,,,,,,,,,,,,,,,,,,,similarity_threshold,'NoneType' object has no attribute 'generateConfigurablePuzzle'
similarity_threshold,,0.6,1,,False,,,2025-08-05T00:36:28.395429,,,,,,,,,,,,,,,,,,,,,,,similarity_threshold,'NoneType' object has no attribute 'generateConfigurablePuzzle'
similarity_threshold,,0.6,2,,False,,,2025-08-05T00:36:28.395431,,,,,,,,,,,,,,,,,,,,,,,similarity_threshold,'NoneType' object has no attribute 'generateConfigurablePuzzle'
similarity_threshold,,0.8,1,,False,,,2025-08-05T00:36:28.395433,,,,,,,,,,,,,,,,,,,,,,,similarity_threshold,'NoneType' object has no attribute 'generateConfigurablePuzzle'
similarity_threshold,,0.8,2,,False,,,2025-08-05T00:36:28.395443,,,,,,,,,,,,,,,,,,,,,,,similarity_threshold,'NoneType' object has no attribute 'generateConfigurablePuzzle'
